Offset-Description                                                                   
0000 - Pointer           3579FE50 : P->00FAE99C        35A2AD90 : P->00FAE99C        
0004 - Pointer           3579FE54 : P->0001FFFF        35A2AD94 : P->0001E20D        
0008 - 4 Bytes (Hex)     3579FE58 : 8000FF04           35A2AD98 : 83880E04           
000C - Float             3579FE5C : Nan                35A2AD9C : -0.02066064253     
0010 - Float             3579FE60 : 0.7684628963       35A2ADA0 : -0.4950240254      
0014 - Float             3579FE64 : 0.009480309673     35A2ADA4 : 0.006303569302     
0018 - Float             3579FE68 : -0.6398240924      35A2ADA8 : 0.8688561916       
001C - Float             3579FE6C : 0.03747427464      35A2ADAC : -0.006176069379    
0020 - Float             3579FE70 : -0.03125957772     35A2ADB0 : -0.00224590837     
0024 - Float             3579FE74 : 0.9992526174       35A2ADB4 : 0.9999610782       
0028 - Float             3579FE78 : -0.02273843624     35A2ADB8 : -0.008534326218    
002C - Byte              3579FE7C : 11                 35A2ADBC : 170                
002D - Byte              3579FE7D : 158                35A2ADBD : 110                
002E - Byte              3579FE7E : 35                 35A2ADBE : 94                 
002F - Byte              3579FE7F : 63                 35A2ADBF : 191                
0030 - Byte              3579FE80 : 11                 35A2ADC0 : 170                
0031 - String            3579FE81 : ž#?                35A2ADC1 : n^¿                
0035 - Byte              3579FE85 : 126                35A2ADC5 : 96                 
0036 - Byte              3579FE86 : 25                 35A2ADC6 : 202                
0037 - Byte              3579FE87 : 61                 35A2ADC7 : 187                
0038 - Float             3579FE88 : 0.7681849599       35A2ADC8 : -0.4949905872      
003C - 4 Bytes           3579FE8C : 0                  35A2ADCC : 0                  
0040 - Float             3579FE90 : -132.1099243       35A2ADD0 : -29.84660149       
0044 - Float             3579FE94 : 222.1719666        35A2ADD4 : 221.9584808        
0048 - Float             3579FE98 : -388.3826294       35A2ADD8 : -274.4675598       
004C - Byte              3579FE9C : 107                35A2ADDC : 221                
004D - Byte              3579FE9D : 148                35A2ADDD : 179                
004E - Byte              3579FE9E : 102                35A2ADDE : 27                 
004F - Byte              3579FE9F : 66                 35A2ADDF : 63                 
0050 - Float             3579FEA0 : -131.999054        35A2ADE0 : -29.88292885       
0054 - Float             3579FEA4 : 222.717041         35A2ADE4 : 222.6582031        
0058 - Float             3579FEA8 : -388.2413025       35A2ADE8 : -274.4933472       
005C - Float             3579FEAC : 49.86315536        35A2ADEC : 34.48310089        
0060 - Float             3579FEB0 : -132.1910248       35A2ADF0 : -29.88292885       
0064 - Float             3579FEB4 : 222.717804         35A2ADF4 : 222.6582031        
0068 - Float             3579FEB8 : -388.4719543       35A2ADF8 : -274.4933472       
006C - Byte              3579FEBC : 96                 35A2ADFC : 0                  
006D - Byte              3579FEBD : 252                35A2ADFD : 0                  
006E - Byte              3579FEBE : 103                35A2ADFE : 0                  
006F - Byte              3579FEBF : 66                 35A2ADFF : 0                  
0070 - Float             3579FEC0 : -0.01620939374     35A2AE00 : -0.00117330777     
0074 - Float             3579FEC4 : 0.3400623202       35A2AE04 : -0.8645772934      
0078 - Float             3579FEC8 : 0.01095872186      35A2AE08 : 0.004253637977     
007C - Float             3579FECC : 0.9401993155       35A2AE0C : 0.5024803281       
0080 - Float             3579FED0 : -0.01601062156     35A2AE10 : -0.00117330777     
0084 - Float             3579FED4 : 0.3400752842       35A2AE14 : -0.8645772934      
0088 - Float             3579FED8 : 0.01083277725      35A2AE18 : 0.004253637977     
008C - Float             3579FEDC : 0.9401994944       35A2AE1C : 0.5024803281       
0090 - Double            3579FEE0 : 0.0000549316464457635A2AE20 : 0.000292968703433871
0098 - Float             3579FEE8 : -0.1000000015      35A2AE28 : 0.03999999911      
009C - 4 Bytes           3579FEEC : 0                  35A2AE2C : 0                  
00A0 - Float             3579FEF0 : 0.0002878362429    35A2AE30 : 0.00001781773972   
00A4 - Float             3579FEF4 : 0.00002454625974   35A2AE34 : -3.802149351E-8    
00A8 - Pointer           3579FEF8 : P->B9C3443B        35A2AE38 : P->B7DA6FED        
00AC - Float             3579FEFC : 0.0004713435774    35A2AE3C : 0.00003155220475   
00B0 - Float             3579FF00 : 1.597600937        35A2AE40 : 3.641303539        
00B4 - 4 Bytes           3579FF04 : 0                  35A2AE44 : 0                  
00B8 - Float             3579FF08 : 0.05000000075      35A2AE48 : 0.05000000075      
00BC - 4 Bytes (Hex)     3579FF0C : FF027F7F           35A2AE4C : 00027F7F           
00C0 - Float             3579FF10 : 0.005882353056     35A2AE50 : 0.0002857142827    
00C4 - Float             3579FF14 : 0.004999999888     35A2AE54 : 0.0002666666696    
00C8 - Float             3579FF18 : 0.009999999776     35A2AE58 : 0.0005000000237    
00CC - Float             3579FF1C : 0.002499999944     35A2AE5C : 0.0003999999899    
00D0 - 4 Bytes (Hex)     3579FF20 : 00000000           35A2AE60 : 00000000           
00D4 - Float             3579FF24 : -0.01907426119     35A2AE64 : 0                  
00D8 - 4 Bytes (Hex)     3579FF28 : 00000000           35A2AE68 : 00000000           
00DC - 4 Bytes           3579FF2C : 0                  35A2AE6C : 0                  
00E0 - Byte              3579FF30 : 199                35A2AE70 : 0                  
00E1 - String            3579FF31 : Àˆ<ö—º             35A2AE71 :                    
00E7 - Byte              3579FF37 : 58                 35A2AE77 : 0                  
00E8 - Float             3579FF38 : -0.02160027996     35A2AE78 : 0                  
00EC - Float             3579FF3C : 0.00190092111      35A2AE7C : 0                  
00F0 - 4 Bytes           3579FF40 : 0                  35A2AE80 : 3253665123         
00F4 - 4 Bytes           3579FF44 : 0                  35A2AE84 : 1130276529         
00F8 - 4 Bytes           3579FF48 : 0                  35A2AE88 : 3280551519         
00FC - 4 Bytes           3579FF4C : 0                  35A2AE8C : 1003166028         
0100 - 4 Bytes           3579FF50 : 0                  35A2AE90 : 3253665391         
0104 - 4 Bytes           3579FF54 : 0                  35A2AE94 : 1130275481         
0108 - 4 Bytes           3579FF58 : 0                  35A2AE98 : 3280551508         
010C - 4 Bytes           3579FF5C : 0                  35A2AE9C : 1005513048         
0110 - 4 Bytes           3579FF60 : 0                  35A2AEA0 : 3128957824         
0114 - 4 Bytes           3579FF64 : 0                  35A2AEA4 : 3128957824         
0118 - 4 Bytes           3579FF68 : 0                  35A2AEA8 : 0                  
011C - 4 Bytes           3579FF6C : 4294967295         35A2AEAC : 0                  
0120 - Pointer           3579FF70 : P->358AF280        35A2AEB0 : P->35868080        
0124 - Pointer           3579FF74 : P->00020002        35A2AEB4 : P->00010001        
0128 - Pointer           3579FF78 : P->35875970        35A2AEB8 : P->289E61A0        
012C - Pointer           3579FF7C : P->00040003        35A2AEBC : P->00040003        
0130 - Pointer to instance of hkBoyancy3579FF80 : P->3590B080        35A2AEC0 : P->293E7240        
0134 - 4 Bytes           3579FF84 : 57                 35A2AEC4 : 1094767946         
0138 - Byte              3579FF88 : 27                 35A2AEC8 : 16                 
0139 - Byte              3579FF89 : 61                 35A2AEC9 : 88                 
013A - Byte              3579FF8A : 40                 35A2AECA : 66                 
013B - Byte              3579FF8B : 37                 35A2AECB : 65                 
013C - Byte              3579FF8C : 27                 35A2AECC : 166                
013D - Byte              3579FF8D : 61                 35A2AECD : 76                 
013E - Byte              3579FF8E : 40                 35A2AECE : 66                 
013F - Byte              3579FF8F : 37                 35A2AECF : 65                 
0140 - Byte              3579FF90 : 27                 35A2AED0 : 23                 
0141 - Byte              3579FF91 : 61                 35A2AED1 : 211                
0142 - Byte              3579FF92 : 40                 35A2AED2 : 72                 
0143 - Byte              3579FF93 : 37                 35A2AED3 : 66                 
0144 - 4 Bytes           3579FF94 : 26                 35A2AED4 : 1112068887         
0148 - Byte              3579FF98 : 166                35A2AED8 : 23                 
0149 - String            3579FF99 : :(%$               35A2AED9 : ÓHBÓ              
014E - Byte              3579FF9E : 0                  35A2AEDE : 72                 
014F - 2 Bytes           3579FF9F : 7680               35A2AEDF : 15170              
