Offset-Description                                                                   
0000 - Pointer           27847640 : P->00F278E0        277A9B40 : P->00F278E0        
0004 - 4 Bytes (Hex)     27847644 : 00080210           277A9B44 : 00060210           
0008 - Pointer to instance of hkpWorld27847648 : P->04920700        277A9B48 : P->04920700        
000C - 4 Bytes           2784764C : 0                  277A9B4C : 0                  
0010 - Pointer to instance of hkpListShape27847650 : P->277B0400        277A9B50 : P->278BFC40        
0014 - 4 Bytes           27847654 : 4294967295         277A9B54 : 4294967295         
0018 - Pointer           27847658 : P->27847720        277A9B58 : P->277A9C20        
001C - 4 Bytes           2784765C : 0                  277A9B5C : 0                  
0020 - 4 Bytes           27847660 : 240                277A9B60 : 240                
0024 - 4 Bytes           27847664 : 962                277A9B64 : 1209               
0028 - 4 Bytes (Hex)     27847668 : 0006EC01           277A9B68 : 0006EC01           
002C - Pointer           2784766C : P->06190014        277A9B6C : P->06430014        
0030 - Float             27847670 : 0.1767368317       277A9B70 : 0.02762579918      
0034 - Pointer           27847674 : P->138763A0        277A9B74 : P->134FC2E0        
0038 - Pointer           27847678 : P->31CA0000        277A9B78 : P->36468740        
003C - Pointer           2784767C : P->090205E2        277A9B7C : P->09000000        
0040 - Byte              27847680 : 0                  277A9B80 : 64                 
0041 - Byte              27847681 : 47                 277A9B81 : 163                
0042 - 2 Bytes           27847682 : 15950              277A9B82 : 15591              
0044 - Pointer           27847684 : P->138FAEA0        277A9B84 : P->1354B440        
0048 - Pointer           27847688 : P->31DED480        277A9B88 : P->36501AC0        
004C - Pointer           2784768C : P->00870202        277A9B8C : P->00F7003D        
0050 - 4 Bytes           27847690 : 36                 277A9B90 : 1112277004         
0054 - String            27847694 : @7~'               277A9B94 : @=‰'               
0058 - Float             27847698 : 0.1000000015       277A9B98 : 0.1000000015       
005C - Pointer           2784769C : P->33CB79C0        277A9B9C : P->33C839E0        
0060 - 4 Bytes           278476A0 : 3                  277A9BA0 : 3                  
0064 - 4 Bytes           278476A4 : 8                  277A9BA4 : 4                  
0068 - 4 Bytes           278476A8 : 4294967249         277A9BA8 : 4294967249         
006C - 4 Bytes           278476AC : 0                  277A9BAC : 3219193856         
0070 - 4 Bytes           278476B0 : 0                  277A9BB0 : 0                  
0074 - Pointer           278476B4 : P->278728B0        277A9BB4 : P->33CC1910        
0078 - 4 Bytes           278476B8 : 1                  277A9BB8 : 1                  
007C - 4 Bytes           278476BC : 1                  277A9BBC : 1                  
0080 - Double            278476C0 : 0.000030517578125  277A9BC0 : 0.0000305175856679784
0088 - Float             278476C8 : 0.400000006        277A9BC8 : 0.400000006        
008C - 4 Bytes           278476CC : 0                  277A9BCC : 0                  
0090 - 4 Bytes           278476D0 : 2560               277A9BD0 : 1920               
